aerodromo,tipo_ocorr,qtde_ocorr,perc_ocorr
***,FALHA DO MOTOR EM VOO,607,6.18
***,PERDA DE CONTROLE EM VOO,362,3.69
***,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,237,2.41
***,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,188,1.91
***,PERDA DE CONTROLE NO SOLO,169,1.72
***,OUTROS,155,1.58
***,INDETERMINADO,137,1.4
***,POUSO EM LOCAL NÃO PREVISTO,121,1.23
***,COLISÃO COM AVE,118,1.2
***,PANE SECA,109,1.11
SBGR,COLISÃO COM AVE,90,0.92
***,OPERAÇÃO A BAIXA ALTITUDE,89,0.91
SBKP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,85,0.87
***,ESTOURO DE PNEU,70,0.71
***,TRÁFEGO AÉREO,69,0.7
SBGR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,69,0.7
SBGL,COLISÃO COM AVE,65,0.66
SBKP,COLISÃO COM AVE,63,0.64
SBSP,COLISÃO COM AVE,62,0.63
SBPA,COLISÃO COM AVE,57,0.58
***,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,56,0.57
SBRF,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,55,0.56
***,COM TREM DE POUSO,55,0.56
SBBR,COLISÃO COM AVE,53,0.54
SBCF,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,53,0.54
SBMT,ESTOURO DE PNEU,51,0.52
SBSV,COLISÃO COM AVE,49,0.5
***,VOO CONTROLADO CONTRA O TERRENO,48,0.49
***,COLISÃO COM OBSTÁCULOS NO SOLO,45,0.46
***,PERDA DE COMPONENTE EM VOO,44,0.45
SBRJ,COLISÃO COM AVE,44,0.45
SBLO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,43,0.44
SBPA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,42,0.43
SBGL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,41,0.42
**NI,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,39,0.4
SBBH,ESTOURO DE PNEU,39,0.4
SBBH,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,38,0.39
SBJD,ESTOURO DE PNEU,36,0.37
SBBE,COLISÃO COM AVE,33,0.34
SBFZ,COLISÃO COM AVE,31,0.32
SBGO,COLISÃO COM AVE,31,0.32
SBSP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,31,0.32
***,COM PARA-BRISAS / JANELA / PORTA,29,0.3
SBSV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,29,0.3
SBMT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,28,0.29
SBGR,FALHA DO MOTOR EM VOO,28,0.29
SBBR,ESTOURO DE PNEU,28,0.29
SBEG,ESTOURO DE PNEU,27,0.27
SBEG,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,27,0.27
***,POUSO BRUSCO,27,0.27
SBBI,ESTOURO DE PNEU,26,0.26
SBPA,ESTOURO DE PNEU,26,0.26
***,VAZAMENTO DE OUTROS FLUIDOS,24,0.24
SBBR,COM TREM DE POUSO,24,0.24
SBRP,ESTOURO DE PNEU,24,0.24
SBLO,PERDA DE CONTROLE NO SOLO,23,0.23
SBMT,COLISÃO COM AVE,23,0.23
***,COM HÉLICE,23,0.23
SBJR,ESTOURO DE PNEU,23,0.23
***,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,22,0.22
***,EXCURSÃO DE PISTA,22,0.22
SBGR,ESTOURO DE PNEU,22,0.22
SBCT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,21,0.21
SBLO,ESTOURO DE PNEU,21,0.21
SBRJ,ESTOURO DE PNEU,21,0.21
SBCT,COLISÃO COM AVE,21,0.21
SBCF,COLISÃO COM AVE,21,0.21
SBCG,COLISÃO COM AVE,21,0.21
SBRF,COLISÃO COM AVE,21,0.21
SBCG,ESTOURO DE PNEU,20,0.2
SBJR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,20,0.2
SBSP,ESTOURO DE PNEU,20,0.2
SBGO,ESTOURO DE PNEU,20,0.2
**NI,FALHA DO MOTOR EM VOO,19,0.19
SBCT,ESTOURO DE PNEU,19,0.19
SBGO,COM TREM DE POUSO,18,0.18
SBFL,COLISÃO COM AVE,18,0.18
***,POUSO SEM TREM,18,0.18
***,POUSO LONGO,18,0.18
SBBR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,17,0.17
SBFL,ESTOURO DE PNEU,17,0.17
SBGR,OUTROS,17,0.17
SBNF,COLISÃO COM AVE,17,0.17
**NI,COM TREM DE POUSO,17,0.17
SBBE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,16,0.16
SBBH,FALHA DO MOTOR EM VOO,16,0.16
SBEG,COLISÃO COM AVE,16,0.16
SBKP,FALHA DO MOTOR EM VOO,16,0.16
SBVT,COLISÃO COM AVE,15,0.15
SBRJ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,15,0.15
SBSJ,ESTOURO DE PNEU,15,0.15
***,COM COMANDOS DE VOO,15,0.15
SBGR,COM TREM DE POUSO,15,0.15
**NI,PERDA DE CONTROLE NO SOLO,15,0.15
SBCY,COLISÃO COM AVE,15,0.15
SBBI,PERDA DE CONTROLE NO SOLO,14,0.14
SBBP,PERDA DE CONTROLE NO SOLO,14,0.14
SBCY,ESTOURO DE PNEU,14,0.14
SBRP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,14,0.14
SBSV,ESTOURO DE PNEU,14,0.14
SBJV,COLISÃO COM AVE,13,0.13
SBRF,OUTROS,13,0.13
SBPR,ESTOURO DE PNEU,13,0.13
SBLO,FALHA DO MOTOR EM VOO,13,0.13
SBGL,FALHA DO MOTOR EM VOO,13,0.13
SBJD,PERDA DE CONTROLE NO SOLO,13,0.13
SBFZ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,13,0.13
SBFL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,13,0.13
***,FALHA OU MAU FUNCIONAMENTO DO MOTOR,13,0.13
SBBH,COM TREM DE POUSO,12,0.12
SBSV,COM TREM DE POUSO,12,0.12
SBNV,PERDA DE CONTROLE NO SOLO,12,0.12
SBGL,OUTROS,12,0.12
SBGL,ESTOURO DE PNEU,12,0.12
SBGO,PERDA DE CONTROLE NO SOLO,12,0.12
**NI,EXCURSÃO DE PISTA,12,0.12
***,COM ROTOR,12,0.12
***,FALHA ESTRUTURAL,12,0.12
***,COMBUSTÍVEL,12,0.12
**NI,ESTOURO DE PNEU,12,0.12
SBKP,OUTROS,11,0.11
SBUL,COLISÃO COM AVE,11,0.11
SBSV,FALHA DO MOTOR EM VOO,11,0.11
SBSP,INCURSÃO EM PISTA,11,0.11
SBSL,COLISÃO COM AVE,11,0.11
SBMT,PERDA DE CONTROLE NO SOLO,11,0.11
SBPA,FALHA DO MOTOR EM VOO,11,0.11
SBJR,FALHA DO MOTOR EM VOO,11,0.11
SBGR,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,11,0.11
SBGO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,11,0.11
SBCG,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,11,0.11
SBCF,FALHA DO MOTOR EM VOO,11,0.11
**NI,INDETERMINADO,11,0.11
SDVH,PERDA DE CONTROLE NO SOLO,10,0.1
SBMA,ESTOURO DE PNEU,10,0.1
SDPW,PERDA DE CONTROLE NO SOLO,10,0.1
SBUL,ESTOURO DE PNEU,10,0.1
SBSV,OUTROS,10,0.1
SBSR,COLISÃO COM AVE,10,0.1
SBRP,COLISÃO COM AVE,10,0.1
SBPR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,10,0.1
SBMG,COLISÃO COM AVE,10,0.1
***,COM CARGAS EXTERNAS,10,0.1
SBKP,COM TREM DE POUSO,10,0.1
SBJP,COLISÃO COM AVE,10,0.1
SBEG,FALHA DO MOTOR EM VOO,10,0.1
SBCY,COM TREM DE POUSO,10,0.1
SBBE,OUTROS,10,0.1
***,FUMAÇA NA CABINE,10,0.1
***,F.O.D.,10,0.1
***,DESORIENTAÇÃO ESPACIAL,10,0.1
***,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,10,0.1
SBUL,PERDA DE CONTROLE NO SOLO,9,0.09
SBTE,COLISÃO COM AVE,9,0.09
SBRF,COM TREM DE POUSO,9,0.09
SBNV,COM TREM DE POUSO,9,0.09
SBMO,COLISÃO COM AVE,9,0.09
SBKP,COM COMANDOS DE VOO,9,0.09
SBGR,OPERAÇÕES NO SOLO,9,0.09
SBFZ,FALHA DO MOTOR EM VOO,9,0.09
SBFI,COLISÃO COM AVE,9,0.09
SBCY,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,9,0.09
SBBR,OUTROS,9,0.09
SBBH,OUTROS,9,0.09
SBBE,COM TREM DE POUSO,9,0.09
SBFZ,ESTOURO DE PNEU,9,0.09
SBSJ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,8,0.08
SBPJ,COLISÃO COM AVE,8,0.08
SBPR,FALHA DO MOTOR EM VOO,8,0.08
SBRJ,FALHA DO MOTOR EM VOO,8,0.08
SSBN,PERDA DE CONTROLE NO SOLO,8,0.08
SBSN,ESTOURO DE PNEU,8,0.08
SBTE,ESTOURO DE PNEU,8,0.08
SBVT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,8,0.08
SBLO,COM TREM DE POUSO,8,0.08
SBNV,ESTOURO DE PNEU,8,0.08
SBMT,COM TREM DE POUSO,8,0.08
SBJR,POUSO BRUSCO,8,0.08
SBBI,EXCURSÃO DE PISTA,8,0.08
**NI,FALHA OU MAU FUNCIONAMENTO DO MOTOR,8,0.08
**NI,POUSO EM LOCAL NÃO PREVISTO,8,0.08
APUA,EXCURSÃO DE PISTA,8,0.08
***,CORTE INVOLUNTÁRIO DO MOTOR,8,0.08
SBBI,FALHA DO MOTOR EM VOO,8,0.08
SBBP,COLISÃO COM AVE,8,0.08
SBBR,FALHA DO MOTOR EM VOO,8,0.08
SBJF,PERDA DE CONTROLE NO SOLO,8,0.08
SBRB,OUTROS,7,0.07
SBME,TRÁFEGO AÉREO,7,0.07
SBMG,COM TREM DE POUSO,7,0.07
SBMT,EXCURSÃO DE PISTA,7,0.07
SBMT,FALHA DO MOTOR EM VOO,7,0.07
SBMT,PERDA DE CONTROLE EM VOO,7,0.07
SBNF,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,7,0.07
SBPA,COM TREM DE POUSO,7,0.07
SBPV,ESTOURO DE PNEU,7,0.07
SBRB,ESTOURO DE PNEU,7,0.07
SBSP,PERDA DE CONTROLE NO SOLO,7,0.07
SBRP,FALHA DO MOTOR EM VOO,7,0.07
SBRP,PERDA DE CONTROLE NO SOLO,7,0.07
SBSP,COM TREM DE POUSO,7,0.07
SBSP,OUTROS,7,0.07
SBLO,OUTROS,7,0.07
SBSP,TRÁFEGO AÉREO,7,0.07
SBUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,7,0.07
SDAM,PERDA DE CONTROLE NO SOLO,7,0.07
SSBL,PERDA DE CONTROLE NO SOLO,7,0.07
SBME,FALHA DO MOTOR EM VOO,7,0.07
SBMT,COLISÃO COM OBSTÁCULOS NO SOLO,7,0.07
**NI,OPERAÇÃO A BAIXA ALTITUDE,7,0.07
SBBH,POUSO BRUSCO,7,0.07
***,AERONAVE ATINGIDA POR OBJETO,7,0.07
***,COLISÃO COM AERONAVE NO SOLO,7,0.07
***,COLISÃO DE AERONAVES EM VOO,7,0.07
***,FOGO NO SOLO,7,0.07
***,POUSO ANTES DA PISTA,7,0.07
***,VAZAMENTO DE COMBUSTÍVEL,7,0.07
**NI,COLISÃO COM AVE,7,0.07
SBJR,COM TREM DE POUSO,7,0.07
APUA,FALHA DO MOTOR EM VOO,7,0.07
SBBE,ESTOURO DE PNEU,7,0.07
SBKP,ESTOURO DE PNEU,7,0.07
SBBI,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,7,0.07
SBGL,COM TREM DE POUSO,7,0.07
SBJD,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,7,0.07
SBCG,COM TREM DE POUSO,7,0.07
SBGR,COM PARA-BRISAS / JANELA / PORTA,7,0.07
SBGR,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,7,0.07
SBGL,COM COMANDOS DE VOO,7,0.07
SBEG,OUTROS,7,0.07
SBEG,COM TREM DE POUSO,7,0.07
SBCY,FALHA DO MOTOR EM VOO,7,0.07
SBJR,POUSO LONGO,6,0.06
SBKP,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,6,0.06
SBLO,COLISÃO COM AVE,6,0.06
SBMG,ESTOURO DE PNEU,6,0.06
SBMT,OUTROS,6,0.06
SBPA,COM PARA-BRISAS / JANELA / PORTA,6,0.06
SBPJ,ESTOURO DE PNEU,6,0.06
SBRF,ESTOURO DE PNEU,6,0.06
SBRF,FALHA DO MOTOR NO SOLO,6,0.06
SBUL,COM TREM DE POUSO,6,0.06
SBRJ,OUTROS,6,0.06
SBVT,ESTOURO DE PNEU,6,0.06
SDAM,ESTOURO DE PNEU,6,0.06
SDCO,ESTOURO DE PNEU,6,0.06
SDTB,EXCURSÃO DE PISTA,6,0.06
SNPA,FALHA DO MOTOR EM VOO,6,0.06
SWFN,COM TREM DE POUSO,6,0.06
SWFR,PERDA DE CONTROLE NO SOLO,6,0.06
SBJD,COLISÃO COM AVE,6,0.06
SBJD,COM TREM DE POUSO,6,0.06
SBJU,ESTOURO DE PNEU,6,0.06
SBJC,COM TREM DE POUSO,6,0.06
APUA,PERDA DE CONTROLE NO SOLO,6,0.06
SBGR,COLISÃO DE VEÍCULO COM AERONAVE,6,0.06
***,MANOBRA ABRUPTA,6,0.06
***,PERDA DE COMPONENTE NO SOLO,6,0.06
***,SUPERAQUECIMENTO,6,0.06
***,TURBULÊNCIA,6,0.06
****,PERDA DE CONTROLE NO SOLO,6,0.06
**NI,OUTROS,6,0.06
**NI,POUSO BRUSCO,6,0.06
**NI,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,6,0.06
SBAR,COLISÃO COM AVE,6,0.06
SBDN,ESTOURO DE PNEU,6,0.06
SBBP,COM TREM DE POUSO,6,0.06
SBGO,OUTROS,6,0.06
SBFZ,OUTROS,6,0.06
***,COM LANÇAMENTO DE CARGA,6,0.06
SBCT,FALHA DO MOTOR EM VOO,6,0.06
SBBU,PERDA DE CONTROLE NO SOLO,6,0.06
SBBR,VAZAMENTO DE OUTROS FLUIDOS,6,0.06
SBPS,ESTOURO DE PNEU,5,0.05
SBKP,FALHA DO MOTOR NO SOLO,5,0.05
SBLO,COM PARA-BRISAS / JANELA / PORTA,5,0.05
SBLO,FALHA DO MOTOR NO SOLO,5,0.05
SBMA,OUTROS,5,0.05
SBME,COLISÃO COM AVE,5,0.05
SBME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,5,0.05
SBNF,ESTOURO DE PNEU,5,0.05
SBPA,OUTROS,5,0.05
SWFN,PERDA DE CONTROLE NO SOLO,5,0.05
SBPV,COLISÃO COM AVE,5,0.05
SBRB,COLISÃO COM AVE,5,0.05
SBRF,COM PARA-BRISAS / JANELA / PORTA,5,0.05
SBRF,FALHA DO MOTOR EM VOO,5,0.05
SBRJ,COM TREM DE POUSO,5,0.05
SBSM,PERDA DE CONTROLE NO SOLO,5,0.05
SBSN,COLISÃO COM AVE,5,0.05
SBSP,FALHA DO MOTOR NO SOLO,5,0.05
SBSR,PERDA DE CONTROLE NO SOLO,5,0.05
SBGR,TRÁFEGO AÉREO,5,0.05
SBGR,INCURSÃO EM PISTA,5,0.05
SBGL,POUSO LONGO,5,0.05
SBBI,COM TREM DE POUSO,5,0.05
SBGL,COLISÃO COM OBSTÁCULOS NO SOLO,5,0.05
***,COM PESSOAL EM VOO,5,0.05
***,PROBLEMAS FISIOLÓGICOS,5,0.05
****,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,5,0.05
****,FALHA DO MOTOR EM VOO,5,0.05
**NI,COLISÃO COM OBSTÁCULOS NO SOLO,5,0.05
APUA,PERDA DE CONTROLE EM VOO,5,0.05
SBBH,PERDA DE CONTROLE NO SOLO,5,0.05
***,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,5,0.05
SBBP,ESTOURO DE PNEU,5,0.05
SBBV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,5,0.05
SBCA,PERDA DE CONTROLE NO SOLO,5,0.05
SBCF,COM TREM DE POUSO,5,0.05
SBCF,FUMAÇA NA CABINE,5,0.05
SBCZ,ESTOURO DE PNEU,5,0.05
SBEG,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,5,0.05
SBFL,COM TREM DE POUSO,5,0.05
SBBR,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,5,0.05
SBPS,COLISÃO COM AVE,4,0.04
SBPP,ESTOURO DE PNEU,4,0.04
SBPR,COM TREM DE POUSO,4,0.04
SBSJ,FALHA DO MOTOR EM VOO,4,0.04
SBPS,FALHA DO MOTOR EM VOO,4,0.04
SBRJ,COLISÃO COM OBSTÁCULOS NO SOLO,4,0.04
SBRP,COM TREM DE POUSO,4,0.04
SBPG,PERDA DE CONTROLE NO SOLO,4,0.04
SBPJ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,4,0.04
SBMT,COM COMANDOS DE VOO,4,0.04
SBPF,PERDA DE CONTROLE NO SOLO,4,0.04
SBPF,COLISÃO COM AVE,4,0.04
SBNF,FALHA DO MOTOR NO SOLO,4,0.04
SBMQ,COLISÃO COM AVE,4,0.04
SBME,OUTROS,4,0.04
SBLO,COLISÃO COM OBSTÁCULOS NO SOLO,4,0.04
SBKP,POUSO BRUSCO,4,0.04
SBSL,ESTOURO DE PNEU,4,0.04
SBSJ,PERDA DE CONTROLE NO SOLO,4,0.04
SBJV,FALHA DO MOTOR EM VOO,4,0.04
SBSP,COLISÃO COM OBSTÁCULOS NO SOLO,4,0.04
SBSP,FALHA DO MOTOR EM VOO,4,0.04
SWUZ,PERDA DE CONTROLE NO SOLO,4,0.04
SWLV,PERDA DE CONTROLE NO SOLO,4,0.04
SWFN,ESTOURO DE PNEU,4,0.04
SWFN,COLISÃO COM AVE,4,0.04
SWCA,ESTOURO DE PNEU,4,0.04
SSOK,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,4,0.04
SSKZ,PERDA DE CONTROLE NO SOLO,4,0.04
SIVU,ESTOURO DE PNEU,4,0.04
SDCO,COM TREM DE POUSO,4,0.04
SDCO,COLISÃO COM AVE,4,0.04
SDAI,PERDA DE CONTROLE NO SOLO,4,0.04
SBVT,SOPRO DE REATOR,4,0.04
SBVT,COM TREM DE POUSO,4,0.04
SBVC,COLISÃO COM AVE,4,0.04
SBUR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,4,0.04
SBTE,FALHA DO MOTOR EM VOO,4,0.04
SBSR,FALHA DO MOTOR EM VOO,4,0.04
SBKP,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,4,0.04
SBJU,COLISÃO COM AVE,4,0.04
***,COLISÃO DE VEÍCULO COM AERONAVE,4,0.04
SBCT,OUTROS,4,0.04
SBCF,OUTROS,4,0.04
SBCF,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,4,0.04
SBCA,FALHA DO MOTOR EM VOO,4,0.04
SBCA,ESTOURO DE PNEU,4,0.04
SBBR,COLISÃO COM OBSTÁCULOS NO SOLO,4,0.04
SBBP,FALHA DO MOTOR EM VOO,4,0.04
SBBP,EXCURSÃO DE PISTA,4,0.04
SBBH,TRÁFEGO AÉREO,4,0.04
SBBH,COM PARA-BRISAS / JANELA / PORTA,4,0.04
SBBH,COLISÃO COM AVE,4,0.04
APUA,OPERAÇÃO A BAIXA ALTITUDE,4,0.04
****,EXCURSÃO DE PISTA,4,0.04
***,SOPRO DE ROTOR,4,0.04
***,FOGO EM VOO,4,0.04
***,FALHA DO MOTOR NO SOLO,4,0.04
***,CONTATO ANORMAL COM A PISTAA,4,0.04
***,COLISÃO COM FAUNA,4,0.04
SBCT,FUMAÇA NA CABINE,4,0.04
SBBH,VAZAMENTO DE COMBUSTÍVEL,4,0.04
SBCX,COLISÃO COM AVE,4,0.04
SBGR,INDETERMINADO,4,0.04
SBJR,PERDA DE CONTROLE EM VOO,4,0.04
SBCY,COM PARA-BRISAS / JANELA / PORTA,4,0.04
SBJR,OUTROS,4,0.04
SBJF,EXCURSÃO DE PISTA,4,0.04
SBJD,FALHA DO MOTOR EM VOO,4,0.04
SBJD,EXCURSÃO DE PISTA,4,0.04
SBJC,PERDA DE CONTROLE NO SOLO,4,0.04
SBJC,ESTOURO DE PNEU,4,0.04
SBJR,TRÁFEGO AÉREO,4,0.04
SBGR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,4,0.04
SBGO,FALHA DO MOTOR EM VOO,4,0.04
SBGL,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,4,0.04
SBFZ,COM TREM DE POUSO,4,0.04
SBFI,ESTOURO DE PNEU,4,0.04
SBEG,EXCURSÃO DE PISTA,4,0.04
SBCY,OUTROS,4,0.04
SBGR,FALHA DO MOTOR NO SOLO,4,0.04
SBSJ,EXCURSÃO DE PISTA,3,0.03
SBRJ,INDETERMINADO,3,0.03
SBRJ,PERDA DE CONTROLE NO SOLO,3,0.03
SBRJ,TRÁFEGO AÉREO,3,0.03
SBRJ,VAZAMENTO DE OUTROS FLUIDOS,3,0.03
SBRP,POUSO BRUSCO,3,0.03
SBRP,TRÁFEGO AÉREO,3,0.03
SBSJ,COM TREM DE POUSO,3,0.03
SBSP,COLISÃO COM AERONAVE NO SOLO,3,0.03
SBSL,OUTROS,3,0.03
SBSL,PERDA DE CONTROLE NO SOLO,3,0.03
SBSP,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,3,0.03
SBSP,COM PARA-BRISAS / JANELA / PORTA,3,0.03
SBSP,FALHA OU MAU FUNCIONAMENTO DO MOTOR,3,0.03
SBSP,VAZAMENTO DE OUTROS FLUIDOS,3,0.03
SBSR,ESTOURO DE PNEU,3,0.03
SBRJ,FALHA DO MOTOR NO SOLO,3,0.03
SBSR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SNJO,PERDA DE CONTROLE NO SOLO,3,0.03
SBRJ,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,3,0.03
SBPK,COLISÃO COM AVE,3,0.03
SBSV,COM PARA-BRISAS / JANELA / PORTA,3,0.03
SBPA,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,3,0.03
SBPA,COLISÃO DE VEÍCULO COM AERONAVE,3,0.03
SBPA,FALHA OU MAU FUNCIONAMENTO DO MOTOR,3,0.03
SBPA,VAZAMENTO DE OUTROS FLUIDOS,3,0.03
SBPF,OUTROS,3,0.03
SBPJ,FALHA DO MOTOR EM VOO,3,0.03
SBPL,FALHA DO MOTOR EM VOO,3,0.03
SBRF,TRÁFEGO AÉREO,3,0.03
SBPR,PERDA DE CONTROLE NO SOLO,3,0.03
SBPR,POUSO LONGO,3,0.03
SBRB,COM PARA-BRISAS / JANELA / PORTA,3,0.03
SBRB,COM TREM DE POUSO,3,0.03
