aerodromo,tipo_ocorr,qtde_ocorr,perc_ocorr
SBRB,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SBRF,COM COMANDOS DE VOO,3,0.03
SBRF,PERDA DE CONTROLE NO SOLO,3,0.03
SBST,FALHA DO MOTOR EM VOO,3,0.03
SNAU,PERDA DE CONTROLE EM VOO,3,0.03
SBSV,FALHA OU MAU FUNCIONAMENTO DO MOTOR,3,0.03
SBNV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SNPA,ESTOURO DE PNEU,3,0.03
SNXW,PERDA DE CONTROLE NO SOLO,3,0.03
SSCN,PERDA DE CONTROLE NO SOLO,3,0.03
SSER,PERDA DE CONTROLE NO SOLO,3,0.03
SSIE,COM TREM DE POUSO,3,0.03
SSKG,COM TREM DE POUSO,3,0.03
SSKG,PERDA DE CONTROLE EM VOO,3,0.03
SSKT,PERDA DE CONTROLE NO SOLO,3,0.03
SSOG,PERDA DE CONTROLE NO SOLO,3,0.03
SWFN,EXCURSÃO DE PISTA,3,0.03
SWFN,PERDA DE CONTROLE EM VOO,3,0.03
SWNO,POUSO SEM TREM,3,0.03
SWPD,FALHA DO MOTOR EM VOO,3,0.03
SWPI,COLISÃO COM AVE,3,0.03
SWPI,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SNMD,EXCURSÃO DE PISTA,3,0.03
SJCY,PERDA DE CONTROLE NO SOLO,3,0.03
SBSV,PERDA DE CONTROLE NO SOLO,3,0.03
SISY,PERDA DE CONTROLE EM VOO,3,0.03
SBSV,SUPERAQUECIMENTO,3,0.03
SBTF,ESTOURO DE PNEU,3,0.03
SBTT,ESTOURO DE PNEU,3,0.03
SBVT,F.O.D.,3,0.03
SBVT,VAZAMENTO DE OUTROS FLUIDOS,3,0.03
SBZM,COLISÃO COM AVE,3,0.03
SDAM,COLISÃO COM AVE,3,0.03
SDAM,POUSO SEM TREM,3,0.03
SDCO,FALHA DO MOTOR EM VOO,3,0.03
SDDN,F.O.D.,3,0.03
SDIH,POUSO BRUSCO,3,0.03
SDIO,PERDA DE CONTROLE NO SOLO,3,0.03
SDRK,PERDA DE CONTROLE NO SOLO,3,0.03
SDTB,PERDA DE CONTROLE NO SOLO,3,0.03
SDTB,POUSO BRUSCO,3,0.03
SBNV,POUSO BRUSCO,3,0.03
SBRJ,COM COMANDOS DE VOO,3,0.03
SBNV,FALHA DO MOTOR EM VOO,3,0.03
SBCB,COLISÃO COM AVE,3,0.03
SBBR,FUMAÇA NA CABINE,3,0.03
SBBR,INCURSÃO EM PISTA,3,0.03
SBBR,POUSO SEM TREM,3,0.03
SBBR,TRÁFEGO AÉREO,3,0.03
SBBU,COM TREM DE POUSO,3,0.03
SBBU,ESTOURO DE PNEU,3,0.03
SBCA,COLISÃO COM AVE,3,0.03
SBCF,ESTOURO DE PNEU,3,0.03
SBBR,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,3,0.03
SBCF,FALHA OU MAU FUNCIONAMENTO DO MOTOR,3,0.03
SBCH,COLISÃO COM AVE,3,0.03
SBCP,FALHA DO MOTOR EM VOO,3,0.03
SBCP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SBCT,COM PARA-BRISAS / JANELA / PORTA,3,0.03
SBCT,COM TREM DE POUSO,3,0.03
SBDN,COLISÃO COM AVE,3,0.03
SBBR,COM PARA-BRISAS / JANELA / PORTA,3,0.03
SBBP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SBEG,COM PARA-BRISAS / JANELA / PORTA,3,0.03
****,POUSO EM LOCAL NÃO PREVISTO,3,0.03
SBNM,PERDA DE CONTROLE NO SOLO,3,0.03
***,COM TRANSPORTE DE CARGA,3,0.03
***,CORTANTE DE VENTO / TEMPESTADE,3,0.03
***,FOGO/FUMAÇA (SEM IMPACTO),3,0.03
***,INCURSÃO EM PISTA,3,0.03
****,COLISÃO COM AVE,3,0.03
****,PERDA DE CONTROLE EM VOO,3,0.03
**NI,COM PARA-BRISAS / JANELA / PORTA,3,0.03
SBBI,COLISÃO COM AVE,3,0.03
**NI,PERDA DE COMPONENTE EM VOO,3,0.03
**NI,PERDA DE CONTROLE EM VOO,3,0.03
APUA,PANE SECA,3,0.03
SBBH,EXCURSÃO DE PISTA,3,0.03
SBBH,FALHA DO MOTOR NO SOLO,3,0.03
SBBH,POUSO SEM TREM,3,0.03
SBBH,VAZAMENTO DE OUTROS FLUIDOS,3,0.03
SBEG,AERÓDROMO,3,0.03
SBBR,FALHA DO MOTOR NO SOLO,3,0.03
SBFL,F.O.D.,3,0.03
SBMK,COLISÃO COM AVE,3,0.03
SBLO,PERDA DE COMPONENTE NO SOLO,3,0.03
SBLO,POUSO BRUSCO,3,0.03
SBLO,VAZAMENTO DE COMBUSTÍVEL,3,0.03
SBMA,COLISÃO COM AVE,3,0.03
SBMA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SBMG,FALHA DO MOTOR EM VOO,3,0.03
SBMG,PERDA DE CONTROLE NO SOLO,3,0.03
SBMK,ESTOURO DE PNEU,3,0.03
SBKP,COLISÃO COM FAUNA,3,0.03
SBML,COM TREM DE POUSO,3,0.03
SBML,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SBMO,COM TREM DE POUSO,3,0.03
SBMO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,3,0.03
SBMQ,ESTOURO DE PNEU,3,0.03
SBMT,F.O.D.,3,0.03
SBFL,FALHA DO MOTOR EM VOO,3,0.03
SBKP,COM PARA-BRISAS / JANELA / PORTA,3,0.03
SBMT,POUSO BRUSCO,3,0.03
SBJU,FALHA DO MOTOR EM VOO,3,0.03
SBHT,ESTOURO DE PNEU,3,0.03
SBGO,POUSO EM LOCAL NÃO PREVISTO,3,0.03
SBGO,TRÁFEGO AÉREO,3,0.03
SBGR,AERONAVE ATINGIDA POR OBJETO,3,0.03
SBGR,COM COMANDOS DE VOO,3,0.03
SBGR,FOGO NO SOLO,3,0.03
SBGR,PERDA DE CONTROLE NO SOLO,3,0.03
SBGW,ESTOURO DE PNEU,3,0.03
SBGL,TRÁFEGO AÉREO,3,0.03
SBIL,COLISÃO COM AVE,3,0.03
SBIL,OUTROS,3,0.03
SBIZ,COLISÃO COM AVE,3,0.03
SBIZ,COM TREM DE POUSO,3,0.03
SBJA,COLISÃO COM AVE,3,0.03
SBJP,ESTOURO DE PNEU,3,0.03
SBIL,ESTOURO DE PNEU,3,0.03
SDAI,COM TREM DE POUSO,2,0.02
SDCO,COLISÃO COM AERONAVE NO SOLO,2,0.02
SDAM,PERDA DE CONTROLE EM VOO,2,0.02
SDAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SDAM,COM TREM DE POUSO,2,0.02
SDAM,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SDAI,POUSO SEM TREM,2,0.02
SDAI,POUSO BRUSCO,2,0.02
SDAI,PERDA DE CONTROLE EM VOO,2,0.02
SDAG,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SDAI,COLISÃO COM AERONAVE NO SOLO,2,0.02
SDAG,POUSO LONGO,2,0.02
SDAA,FALHA DO MOTOR EM VOO,2,0.02
SBVT,POUSO EM LOCAL NÃO PREVISTO,2,0.02
SBVT,PERDA DE COMPONENTE NO SOLO,2,0.02
SBVT,OUTROS,2,0.02
SDCO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBVT,FALHA DO MOTOR EM VOO,2,0.02
SDCO,F.O.D.,2,0.02
SDET,PERDA DE CONTROLE NO SOLO,2,0.02
SDCO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,2,0.02
SDIH,PERDA DE CONTROLE EM VOO,2,0.02
SBVG,COM TREM DE POUSO,2,0.02
SDMC,COM TREM DE POUSO,2,0.02
SDMC,COLISÃO COM AERONAVE NO SOLO,2,0.02
SDLL,FALHA DO MOTOR EM VOO,2,0.02
SDJA,POUSO SEM TREM,2,0.02
SDIO,POUSO EM LOCAL NÃO PREVISTO,2,0.02
SDIH,PERDA DE CONTROLE NO SOLO,2,0.02
SDIH,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2,0.02
SDCO,POUSO BRUSCO,2,0.02
SDIG,PERDA DE CONTROLE NO SOLO,2,0.02
SDMC,PERDA DE CONTROLE NO SOLO,2,0.02
SDET,FALHA DO MOTOR EM VOO,2,0.02
SDEN,EXCURSÃO DE PISTA,2,0.02
SDEN,CONTATO ANORMAL COM A PISTAA,2,0.02
SDEN,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SDEM,FALHA DO MOTOR EM VOO,2,0.02
SBVH,ESTOURO DE PNEU,2,0.02
SBRF,COM HÉLICE,2,0.02
SBVC,ESTOURO DE PNEU,2,0.02
SBRP,COM PARA-BRISAS / JANELA / PORTA,2,0.02
SBSL,POUSO SEM TREM,2,0.02
SBSL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBSL,COM TREM DE POUSO,2,0.02
SBSL,COM PARA-BRISAS / JANELA / PORTA,2,0.02
SBSL,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBSJ,COLISÃO COM AVE,2,0.02
SBSI,COLISÃO COM AVE,2,0.02
SBRP,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,2,0.02
SBSN,FALHA DO MOTOR EM VOO,2,0.02
SBRP,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,2,0.02
SBRJ,POUSO EM LOCAL NÃO PREVISTO,2,0.02
SBRJ,PERDA DE COMPONENTE EM VOO,2,0.02
SBRJ,AERÓDROMO,2,0.02
SBRF,INDETERMINADO,2,0.02
SBRF,FALHA OU MAU FUNCIONAMENTO DO MOTOR,2,0.02
SDMH,FALHA ESTRUTURAL,2,0.02
SBSL,TURBULÊNCIA,2,0.02
SBSN,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBUR,ESTOURO DE PNEU,2,0.02
SBTE,PERDA DE CONTROLE NO SOLO,2,0.02
SBUR,COM TREM DE POUSO,2,0.02
SBUL,POUSO LONGO,2,0.02
SBUL,PERDA DE COMPONENTE EM VOO,2,0.02
SBUL,EXCURSÃO DE PISTA,2,0.02
SBTF,FALHA DO MOTOR EM VOO,2,0.02
SBTF,COM PARA-BRISAS / JANELA / PORTA,2,0.02
SBTF,COLISÃO COM AVE,2,0.02
SBSV,VAZAMENTO DE OUTROS FLUIDOS,2,0.02
SBSN,OUTROS,2,0.02
SBSV,PERDA DE CONTROLE EM VOO,2,0.02
SBSV,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBSR,POUSO SEM TREM,2,0.02
SBSP,SOPRO DE REATOR,2,0.02
SBSP,FUMAÇA NA CABINE,2,0.02
SBSP,EXCURSÃO DE PISTA,2,0.02
SBSP,COLISÃO DE VEÍCULO COM AERONAVE,2,0.02
SDMC,POUSO BRUSCO,2,0.02
SBRB,FALHA DO MOTOR EM VOO,2,0.02
SDMJ,PERDA DE CONTROLE EM VOO,2,0.02
SDOI,FALHA DO MOTOR EM VOO,2,0.02
SWGI,FALHA DO MOTOR EM VOO,2,0.02
SWFN,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SWEK,POUSO SEM TREM,2,0.02
SSOK,FALHA DO MOTOR EM VOO,2,0.02
SSOG,CORTE INVOLUNTÁRIO DO MOTOR,2,0.02
SSNH,PERDA DE CONTROLE NO SOLO,2,0.02
SSNH,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SSNG,PERDA DE CONTROLE NO SOLO,2,0.02
SSNG,FALHA DO MOTOR EM VOO,2,0.02
SSKT,EXCURSÃO DE PISTA,2,0.02
SSKT,COM TREM DE POUSO,2,0.02
SSKS,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2,0.02
SSKM,PERDA DE CONTROLE NO SOLO,2,0.02
SSFC,INDETERMINADO,2,0.02
SSDO,ESTOURO DE PNEU,2,0.02
SSBN,COM TREM DE POUSO,2,0.02
SSBG,PERDA DE CONTROLE NO SOLO,2,0.02
SWGN,ESTOURO DE PNEU,2,0.02
SWIT,EXCURSÃO DE PISTA,2,0.02
SWJW,COM TREM DE POUSO,2,0.02
SWPD,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SWUZ,POUSO SEM TREM,2,0.02
SWUZ,POUSO BRUSCO,2,0.02
SWUZ,FALHA DO MOTOR EM VOO,2,0.02
SWUI,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SWTS,PERDA DE CONTROLE NO SOLO,2,0.02
SWSI,COM TREM DE POUSO,2,0.02
SWPY,PERDA DE CONTROLE NO SOLO,2,0.02
SWNS,PERDA DE CONTROLE EM VOO,2,0.02
SWKO,ESTOURO DE PNEU,2,0.02
SWNS,COM TREM DE POUSO,2,0.02
SWNH,COM TREM DE POUSO,2,0.02
SWMV,PERDA DE CONTROLE NO SOLO,2,0.02
SWLV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SWLV,FALHA DO MOTOR EM VOO,2,0.02
SWLC,POUSO BRUSCO,2,0.02
SWLC,EXCURSÃO DE PISTA,2,0.02
SNVR,FALHA DO MOTOR EM VOO,2,0.02
SNUH,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SNRU,PERDA DE CONTROLE NO SOLO,2,0.02
SDVG,PERDA DE CONTROLE NO SOLO,2,0.02
SIMK,ESTOURO DE PNEU,2,0.02
SIMB,EXCURSÃO DE PISTA,2,0.02
SILT,PERDA DE CONTROLE NO SOLO,2,0.02
SIFC,FALHA DO MOTOR EM VOO,2,0.02
SIBH,F.O.D.,2,0.02
SDVI,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2,0.02
SDVH,PERDA DE CONTROLE EM VOO,2,0.02
SDUB,EXCURSÃO DE PISTA,2,0.02
SIRI,POUSO ANTES DA PISTA,2,0.02
SDUB,ESTOURO DE PNEU,2,0.02
SDTK,PERDA DE CONTROLE EM VOO,2,0.02
SDTF,PERDA DE CONTROLE EM VOO,2,0.02
SDRS,PERDA DE CONTROLE NO SOLO,2,0.02
SDPW,POUSO BRUSCO,2,0.02
SDPW,COM TREM DE POUSO,2,0.02
SDOW,COM TREM DE POUSO,2,0.02
SIQE,COM TREM DE POUSO,2,0.02
SIRI,POUSO LONGO,2,0.02
SNPA,PERDA DE CONTROLE EM VOO,2,0.02
SNCJ,COM TREM DE POUSO,2,0.02
SNPA,COM TREM DE POUSO,2,0.02
SNGA,FALHA DO MOTOR EM VOO,2,0.02
SNEM,PERDA DE CONTROLE EM VOO,2,0.02
SNEJ,PERDA DE CONTROLE NO SOLO,2,0.02
SNDV,POUSO SEM TREM,2,0.02
SNDV,ESTOURO DE PNEU,2,0.02
SNDC,FALHA DO MOTOR EM VOO,2,0.02
SJNP,OUTROS,2,0.02
SIVU,POUSO BRUSCO,2,0.02
SJNP,INDETERMINADO,2,0.02
SJLY,OUTROS,2,0.02
SIXE,POUSO BRUSCO,2,0.02
SIXE,PERDA DE CONTROLE NO SOLO,2,0.02
SIXE,FALHA DO MOTOR EM VOO,2,0.02
SIXE,COM TREM DE POUSO,2,0.02
SIXD,PERDA DE CONTROLE NO SOLO,2,0.02
SBRF,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SWNO,COM TREM DE POUSO,2,0.02
SBPR,POUSO BRUSCO,2,0.02
SBCA,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,2,0.02
SBCT,INCURSÃO EM PISTA,2,0.02
SBCT,FOGO/FUMAÇA (SEM IMPACTO),2,0.02
SBCT,FALHA OU MAU FUNCIONAMENTO DO MOTOR,2,0.02
SBCT,FALHA DO MOTOR NO SOLO,2,0.02
SBCT,COM COMANDOS DE VOO,2,0.02
SBCP,POUSO BRUSCO,2,0.02
SBCM,POUSO SEM TREM,2,0.02
SBCJ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBCG,PERDA DE CONTROLE NO SOLO,2,0.02
SBCG,OUTROS,2,0.02
SBCG,EXCURSÃO DE PISTA,2,0.02
SBCF,COM PARA-BRISAS / JANELA / PORTA,2,0.02
SBCB,VAZAMENTO DE OUTROS FLUIDOS,2,0.02
SBCB,TRÁFEGO AÉREO,2,0.02
SBCB,POUSO BRUSCO,2,0.02
SBCB,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBCB,COM TREM DE POUSO,2,0.02
SBCT,PERDA DE COMPONENTE EM VOO,2,0.02
SBCT,PERDA DE CONTROLE NO SOLO,2,0.02
SBCT,VAZAMENTO DE OUTROS FLUIDOS,2,0.02
SBEG,F.O.D.,2,0.02
SBFL,EXCURSÃO DE PISTA,2,0.02
SBFL,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,2,0.02
SBFI,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBEG,VAZAMENTO DE OUTROS FLUIDOS,2,0.02
SBEG,POUSO SEM TREM,2,0.02
SBEG,PERDA DE CONTROLE NO SOLO,2,0.02
SBEG,PERDA DE CONTROLE EM VOO,2,0.02
SBEG,COLISÃO DE VEÍCULO COM AERONAVE,2,0.02
SBCX,ESTOURO DE PNEU,2,0.02
SBEG,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,2,0.02
SBDN,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBCZ,TRÁFEGO AÉREO,2,0.02
SBCY,VAZAMENTO DE OUTROS FLUIDOS,2,0.02
SBCY,POUSO SEM TREM,2,0.02
SBCY,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBCX,PERDA DE CONTROLE NO SOLO,2,0.02
SBCA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBBV,ESTOURO DE PNEU,2,0.02
SBFL,POUSO BRUSCO,2,0.02
SBBV,COM TREM DE POUSO,2,0.02
SBAU,COLISÃO COM AVE,2,0.02
9PAA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
**NI,TURBULÊNCIA,2,0.02
**NI,POUSO LONGO,2,0.02
**NI,PANE SECA,2,0.02
**NI,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)",2,0.02
**NI,CONTATO ANORMAL COM A PISTAA,2,0.02
**NI,COMBUSTÍVEL,2,0.02
**NI,AERÓDROMO,2,0.02
****,OPERAÇÃO A BAIXA ALTITUDE,2,0.02
****,INDETERMINADO,2,0.02
***,RELACIONADO COM SECURITY,2,0.02
***,PERDA DA CONSCIÊNCIA,2,0.02
***,OPERAÇÕES NO SOLO,2,0.02
***,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)",2,0.02
***,FORMAÇÃO DE GELO,2,0.02
SBPR,EXCURSÃO DE PISTA,2,0.02
SBAU,FALHA DO MOTOR EM VOO,2,0.02
SBAU,PERDA DE CONTROLE NO SOLO,2,0.02
SBBE,CONTATO ANORMAL COM A PISTAA,2,0.02
SBBI,POUSO LONGO,2,0.02
SBBU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBBR,SOPRO DE REATOR,2,0.02
SBBR,PERDA DE COMPONENTE NO SOLO,2,0.02
SBBR,FOGO NO SOLO,2,0.02
SBBR,COLISÃO DE VEÍCULO COM AERONAVE,2,0.02
SBBR,COLISÃO COM AERONAVE NO SOLO,2,0.02
SBBP,PERDA DE CONTROLE EM VOO,2,0.02
SBBI,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBBE,FALHA DO MOTOR EM VOO,2,0.02
SBBH,PERDA DE CONTROLE EM VOO,2,0.02
SBBH,FALHA OU MAU FUNCIONAMENTO DO MOTOR,2,0.02
SBBH,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBBH,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2,0.02
SBBE,TRÁFEGO AÉREO,2,0.02
SBBE,SUPERAQUECIMENTO,2,0.02
SBBE,PERDA DE CONTROLE NO SOLO,2,0.02
SBFL,PERDA DE CONTROLE NO SOLO,2,0.02
SBBI,OUTROS,2,0.02
SBFZ,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,2,0.02
SBLE,FALHA DO MOTOR EM VOO,2,0.02
SBNF,COM PARA-BRISAS / JANELA / PORTA,2,0.02
SBNF,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2,0.02
SBMY,ESTOURO DE PNEU,2,0.02
SBMT,PERDA DE COMPONENTE EM VOO,2,0.02
SBMT,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,2,0.02
SBMT,COLISÃO COM AERONAVE NO SOLO,2,0.02
SBMO,FALHA DO MOTOR EM VOO,2,0.02
SBML,TRÁFEGO AÉREO,2,0.02
SBMK,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBMK,FALHA DO MOTOR EM VOO,2,0.02
SBMK,COM TREM DE POUSO,2,0.02
SBMG,PERDA DE COMPONENTE NO SOLO,2,0.02
SBMG,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBLO,TRÁFEGO AÉREO,2,0.02
SBLO,PERDA DE CONTROLE EM VOO,2,0.02
SBLO,INDETERMINADO,2,0.02
SBLO,COM ROTOR,2,0.02
SBNF,COM TREM DE POUSO,2,0.02
SBNF,FALHA DO MOTOR EM VOO,2,0.02
SBNF,OUTROS,2,0.02
SBPG,FALHA DO MOTOR EM VOO,2,0.02
SBPL,COM TREM DE POUSO,2,0.02
SBFZ,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBPL,COM PARA-BRISAS / JANELA / PORTA,2,0.02
SBPK,OUTROS,2,0.02
SBPJ,COM TREM DE POUSO,2,0.02
SBPJ,COM PARA-BRISAS / JANELA / PORTA,2,0.02
SBPG,PERDA DE CONTROLE EM VOO,2,0.02
SBPC,COM TREM DE POUSO,2,0.02
SBNM,FALHA DO MOTOR EM VOO,2,0.02
SBPA,PERDA DE CONTROLE NO SOLO,2,0.02
SBPA,F.O.D.,2,0.02
SBNV,TRÁFEGO AÉREO,2,0.02
SBNV,POUSO SEM TREM,2,0.02
SBNV,PERDA DE CONTROLE EM VOO,2,0.02
SBNV,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBNT,COM TREM DE POUSO,2,0.02
SBLO,COM COMANDOS DE VOO,2,0.02
SBNT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBKP,TRÁFEGO AÉREO,2,0.02
SBIL,INDETERMINADO,2,0.02
SBHT,COM TREM DE POUSO,2,0.02
SBGR,VAZAMENTO DE OUTROS FLUIDOS,2,0.02
SBGR,F.O.D.,2,0.02
SBGR,CONTATO ANORMAL COM A PISTAA,2,0.02
SBGR,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBGP,PERDA DE CONTROLE NO SOLO,2,0.02
SBGO,VAZAMENTO DE OUTROS FLUIDOS,2,0.02
SBGO,EXCURSÃO DE PISTA,2,0.02
SBGO,CONTATO ANORMAL COM A PISTAA,2,0.02
SBGO,COLISÃO COM OBSTÁCULOS NO SOLO,2,0.02
SBGO,COLISÃO COM FAUNA,2,0.02
SBGL,PANE SECA,2,0.02
SBGL,OPERAÇÕES NO SOLO,2,0.02
SBGL,FUMAÇA NA CABINE,2,0.02
SBKP,FALHA OU MAU FUNCIONAMENTO DO MOTOR,2,0.02
SBGL,FALHA DO MOTOR NO SOLO,2,0.02
SBFZ,PERDA DE COMPONENTE NO SOLO,2,0.02
SBIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,2,0.02
SBGL,FALHA OU MAU FUNCIONAMENTO DO MOTOR,2,0.02
